SL NO,Hotel_name,Location,Price,Discount,Total Rating,Rating(out of 5),Hotel ID,Booking ID,Booking Status,Payment Mode (online/offline),No of Guest,check in time,check in status,Total Price,Customer ID,Review,URL
0,Capital O 80951 Hotel Radisson Suite,"India, Mumbai",2819,65%,104,4,194527,XYZ4300,confirmed,online,2,3:00pm,completed,3000,CUST1128,"Poor service, not worth the price.",https://www.oyorooms.com/194527
1,OYO SilverKey Hotel Manas Residency,"Chembur East, Mumbai",2702,65%,410,5,45105,XYZ4301,confirmed,online,2,12:00pm,completed,5000,CUST1448,"Poor service, not worth the price.",https://www.oyorooms.com/45105
2,OYO Hotel Airport Metro Near Chhatrapati Shivaji International Airport,"Andheri East, Mumbai",2289,64%,879,5,110286,XYZ4302,confirmed,online,2,12:00pm,completed,3000,CUST1088,"Poor service, not worth the price.",https://www.oyorooms.com/110286
3,Collection O Hotel Kiwi International Near Chhatrapati Shivaji International Airport,"Andheri East, Mumbai",2094,66%,75,5,113328,XYZ4303,confirmed,online,2,5:00pm,completed,3500,CUST1437,"Poor service, not worth the price.",https://www.oyorooms.com/113328
4,OYO Druv's Taj Palace Near Chhatrapati Shivaji International Airport,"Near Asalpha Metro Station, Dhumai Estate, Mumbai",2656,65%,686,3,114912,XYZ4304,confirmed,online,2,6:00pm,completed,3500,CUST1319,Room was not clean upon arrival.,https://www.oyorooms.com/114912
5,Collection O Collection O Hotel Jayshree Domestic Airport,"Vile Parle East, Mumbai",3127,65%,588,3,13422,XYZ4305,confirmed,online,3,5:00pm,completed,4000,CUST1460,Room was not clean upon arrival.,https://www.oyorooms.com/13422
6,OYO Hotel Blue Executive Near Chhatrapati Shivaji International Airport,"On main street, Near Saki Vihar complex, Sakinaka,Mumbai",2772,65%,1875,3,16399,XYZ4306,confirmed,online,3,6:00pm,completed,4000,CUST1278,"Great stay, very clean and comfortable.",https://www.oyorooms.com/16399
7,OYO Blue Pearl Residency Near Chhatrapati Shivaji International Airport,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai",1921,65%,995,4,18096,XYZ4307,confirmed,online,3,12:00pm,completed,3500,CUST1229,"Poor service, not worth the price.",https://www.oyorooms.com/18096
8,OYO Hotel Blue Sapphire Residency Near Chhatrapati Shivaji International Airport,"Near The Crescent Business Park, Sakinaka, Mumbai",2220,65%,1144,2,18134,XYZ4308,confirmed,online,1,3:00pm,completed,5000,CUST1002,Very affordable with good facilities.,https://www.oyorooms.com/18134
9,OYO Hotel Blue Sea Near Chhatrapati Shivaji International Airport,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai",1921,65%,2051,5,193322,XYZ4309,confirmed,online,1,2:00pm,completed,5500,CUST1175,Room was not clean upon arrival.,https://www.oyorooms.com/193322
10,Super OYO Hotel Divine Residency Near Phoenix Marketcity,"Near Chirag Nagar Police Station, LBS Marg, Mumbai",4069,65%,644,3,197624,XYZ4310,confirmed,online,2,1:00pm,completed,4400,CUST1269,Excellent location and friendly staff.,https://www.oyorooms.com/197624
11,Capital O Hotel Adore Palace,"Sakinaka Jharimari Link Road, Mumbai",2092,66%,34,3,199133,XYZ4311,confirmed,online,3,1:00pm,completed,3200,CUST1254,"Great stay, very clean and comfortable.",https://www.oyorooms.com/199133
12,OYO Hotel Greenforest Near Airport Road Metro Station,"Near Axis Bank, Customs Colony, Mumbai",2247,67%,664,5,20129,XYZ4312,confirmed,online,3,12:00pm,completed,3300,CUST1248,Excellent location and friendly staff.,https://www.oyorooms.com/20129
13,Capital O Hotel Pearl Near US Embassy,"Near Wajan Kata Bus Stop, Indira Nagar, Mumbai",2896,65%,119,3,206886,XYZ4313,confirmed,offline,2,3:00pm,completed,5000,CUST1089,Would definitely recommend to others.,https://www.oyorooms.com/206886
14,OYO Anjali Hotel Mumbai,"Near Kanti Nagar, Andheri East, Mumbai",2535,67%,477,1,207919,XYZ4314,confirmed,offline,2,2:00pm,completed,4000,CUST1348,"Poor service, not worth the price.",https://www.oyorooms.com/207919
15,OYO Rana Residency Near Western Express Highway Metro Station,"Tolany Naka, Sher-e-Punjab Colony, Mumbai",1916,67%,589,2,208624,XYZ4315,confirmed,offline,2,1:00pm,completed,3000,CUST1009,"Great stay, very clean and comfortable.",https://www.oyorooms.com/208624
16,Flagship The Mumbai Inn Near Chhatrapati Shivaji International Airport,"The Mumbai Inn 90 Feet Road Next To Peninsula Near Tilak Nagar Gate Sakinaka Mumbai, Mumbai",1863,67%,470,3,211036,XYZ4316,confirmed,offline,2,4:00pm,completed,5000,CUST1157,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/211036
17,OYO Royal Inn Near Versova Beach,"Near Jankidevi Public School Road, Varsova, Mumbai",2740,67%,465,5,211691,XYZ4317,confirmed,offline,2,2:00pm,completed,4000,CUST1192,"Great stay, very clean and comfortable.",https://www.oyorooms.com/211691
18,Capital O Hotel Zaid International NEAR L&T Sakinaka & IIT POWAI,"Near Huntsman Building, Marol, Mumbai",3273,65%,711,4,211895,XYZ4318,confirmed,offline,2,3:00pm,completed,3000,CUST1318,Check-in process was slow and frustrating.,https://www.oyorooms.com/211895
19,OYO Flagship Om Residency Near Airport Road Metro Station,"Near Ganesh nagar, Marol, Mumbai",2530,67%,16,5,212805,XYZ4319,confirmed,offline,2,5:00pm,completed,5000,CUST1005,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/212805
20,SPOT ON Yatra Inn Near Lalbagh Botanical Garden,"Lalbagh, Bangalore",1040,64%,2617,4,213065,XYZ4320,confirmed,offline,2,4:00pm,completed,5800,CUST1308,"Great stay, very clean and comfortable.",https://www.oyorooms.com/213065
21,OYO Townhouse 180 Jayanagar ,"Near Sagar Hospital, Tilak Nagar, Bangalore",1828,67%,3524,3,43297,XYZ4321,confirmed,offline,2,12:00pm,completed,5700,CUST1369,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/43297
22,Super OYO Townhouse OAK Spruce Hotels A2 Indiranagar,"India, Bangalore",1423,75%,253,4,45208,XYZ4322,confirmed,offline,2,12:00pm,completed,6500,CUST1485,Very affordable with good facilities.,https://www.oyorooms.com/45208
23,Super OYO Collection O Sabharwal Residency Near Lalbagh Botanical Garden,"Opposite Shanthinagar, Bangalore",1410,65%,429,3,47091,XYZ4323,confirmed,offline,2,1:00pm,completed,3000,CUST1168,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/47091
24,OYO Townhouse Chic 364 Richmond Road Near Cubbon Park,"Near Baldwin Women College, Richmond Town, Bengaluru",2082,65%,1457,5,50011,XYZ4324,confirmed,offline,2,1:00pm,completed,4000,CUST1348,Check-in process was slow and frustrating.,https://www.oyorooms.com/50011
25,OYO Hotel Townhall,"Near Dhanlakshmi Bank, JC Road, Bangalore",1070,65%,1144,2,52409,XYZ4325,confirmed,online,2,12:00pm,completed,2000,CUST1376,Very affordable with good facilities.,https://www.oyorooms.com/52409
26,Collection O Hotel Hemadri Residency,"Opp Saraswati Kalyana Mantapa, Bangalore",872,67%,74,3,56088,XYZ4326,confirmed,online,2,2:00pm,completed,5000,CUST1406,Check-in process was slow and frustrating.,https://www.oyorooms.com/56088
27,Super OYO Capital O Boulevard Elite Madiwala Near Ragigudda Sri Prasanna Anjanayeswamy Temple,"B T M Layout, Bangalore",1365,66%,2664,3,91327,XYZ4327,confirmed,online,2,3:50pm,completed,3500,CUST1177,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/91327
28,OYO Sai Ram Residency,"Cubbonpet Main Road, Bangalore",1092,67%,207,3,9193,XYZ4328,confirmed,online,2,12:00pm,completed,3500,CUST1117,Would definitely recommend to others.,https://www.oyorooms.com/9193
29,Super OYO  Design Oyo Townhouse OAK Clove Boutique Hotel Rajaji Nagar,"4th Block, Rajaji Nagar, Bangalore",3053,65%,1360,5,100265,XYZ4329,confirmed,online,2,3:50pm,completed,3500,CUST1094,Check-in process was slow and frustrating.,https://www.oyorooms.com/100265
30,SPOT ON Hotel Relax Inn Near Banashankari Metro Station,"Banashankari 3rd Stage, Bangalore",645,77%,69,3,103975,XYZ4330,confirmed,online,2,6:00pm,completed,4000,CUST1461,Check-in process was slow and frustrating.,https://www.oyorooms.com/103975
31,Super OYO Townhouse 385 Navya International Ramamurthy Nagar Near Phoenix Marketcity,"Near Rammamurthynagar Police Station, Bangalore",1274,67%,2655,4,104483,XYZ4331,confirmed,online,2,3:50pm,completed,2500,CUST1212,"Great stay, very clean and comfortable.",https://www.oyorooms.com/104483
32,OYO Sree Balaji Residency,"Agrahara Dasarahalli, Rajaji Nagar, Bangalore",907,67%,360,3,107868,XYZ4332,confirmed,online,2,3:00pm,completed,2500,CUST1418,Room was not clean upon arrival.,https://www.oyorooms.com/107868
33,Super OYO Townhouse 238 Tierra Woods Near Halasuru Metro Station,"Halasuru, Bangalore",2276,65%,1675,5,10813,XYZ4333,confirmed,online,2,5:30pm,completed,2500,CUST1481,Room was not clean upon arrival.,https://www.oyorooms.com/10813
34,Capital O Champion Lotus Near Mantri Square Mall,"Near IIFT, Vijayanagar, Bangalore",1339,65%,1342,3,113292,XYZ4334,confirmed,online,2,12:00pm,completed,2500,CUST1001,Fantastic ambiance and atmosphere.,https://www.oyorooms.com/113292
